Dataset,Freq,RDelay,SeriesID,Title,CategoryMain,Units
FRED-QD,Q,85,PCECC96,"Real Personal Consumption Expenditures (Billions of Chained 2012 Dollars)","Output, income, consumption","Billions of Chained 2012 Dollars"
FRED-QD,Q,85,PCESVx,"Real Personal Consumption Expenditures: Services (Billions of 2012 Dollars), deflated using PCE","Output, income, consumption","Billions of Dollars"
FRED-QD,Q,85,PCNDx,"Real Personal Consumption Expenditures: Nondurable Goods (Billions of 2012 Dollars), deflated using PCE","Output, income, consumption","Billions of Dollars"
FRED-QD,Q,85,PNFIx,"Real private fixed investment: Nonresidential (Billions of Chained 2012 Dollars), deflated using PCE","Output, income, consumption","Billions of Dollars"
FRED-QD,Q,85,PRFIx,"Real private fixed investment: Residential (Billions of Chained 2012 Dollars), deflated using PCE","Output, income, consumption","Billions of Dollars"
FRED-QD,Q,85,SLCEx,"Real government state and local consumption expenditures (Billions of Chained 2012 Dollars), deflated using PCE","Output, income, consumption","Billions of Dollars"
FRED-QD,Q,85,Y033RC1Q027SBEAx,"Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment (Billions of Chained 2012 Dollars), deflated using PCE","Output, income, consumption","Billions of Dollars"
FRED-QD,Q,85,DCLORG3Q086SBEA,"Personal consumption expenditures: Nondurable goods: Clothing and footwear (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DFDHRG3Q086SBEA,"Personal consumption expenditures: Durable goods: Furnishings and durable household equipment (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DFSARG3Q086SBEA,"Personal consumption expenditures: Services: Food services and accommodations (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DFXARG3Q086SBEA,"Personal consumption expenditures: Nondurable goods: Food and beverages purchased for off-premises consumption (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DGDSRG3Q086SBEA,"Personal consumption expenditures: Goods (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DGOERG3Q086SBEA,"Personal consumption expenditures: Nondurable goods: Gasoline and other energy goods (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DHCERG3Q086SBEA,"Personal consumption expenditures: Services: Household consumption expenditures (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DHLCRG3Q086SBEA,"Personal consumption expenditures: Services: Health care (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DHUTRG3Q086SBEA,"Personal consumption expenditures: Services: Housing and utilities (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DIFSRG3Q086SBEA,"Personal consumption expenditures: Financial services and insurance (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DMOTRG3Q086SBEA,"Personal consumption expenditures: Durable goods: Motor vehicles and parts (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DODGRG3Q086SBEA,"Personal consumption expenditures: Durable goods: Other durable goods (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DONGRG3Q086SBEA,"Personal consumption expenditures: Nondurable goods: Other nondurable goods (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DOTSRG3Q086SBEA,"Personal consumption expenditures: Other services (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DRCARG3Q086SBEA,"Personal consumption expenditures: Recreation services (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DREQRG3Q086SBEA,"Personal consumption expenditures: Durable goods: Recreational goods and vehicles (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,DTRSRG3Q086SBEA,"Personal consumption expenditures: Transportation services (chain-type price index)","Prices","Index 2012=100"
FRED-QD,Q,85,GDPCTPI,"Gross Domestic Product: Chain-type Price Index (Index 2012=100)","Prices","Index 2012=100"
FRED-QD,Q,85,GPDICTPI,"Gross Private Domestic Investment: Chain-type Price Index (Index 2012=100)","Prices","Index 2012=100"
FRED-QD,Q,36,IPDBS,"Business Sector: Implicit Price Deflator (Index 2012=100)","Prices","Index 2012=100"
